census_tract,total_people,parks,shelter_beds,building_permits,foreclosures
192420,7,2,0,5262,51
192510,32,2,18,5262,51
192520,7,2,0,5262,51
192610,35,7,0,7507,85
192620,61,2,0,5262,51
192700,291,2,356,5262,51
194101,1,16,0,11784,129
194102,3,12,0,6537,63
194200,2,12,0,10030,91
194300,0,12,0,10030,91
194401,25,13,0,12382,85
194402,13,13,0,15875,113
194500,25,1,0,5845,22
195100,5,71,0,18049,161
195201,2,41,0,5593,47
195202,4,41,0,5593,47
195300,11,41,0,5593,47
195400,8,35,0,14701,148
195500,52,30,0,12456,114
195600,58,19,47,7589,63
195710,132,19,178,7589,63
195720,26,19,0,7589,63
195802,90,19,0,7589,63
195803,14,19,0,7589,63
195804,21,19,0,7589,63
195901,0,24,0,9834,97
195902,10,19,0,7589,63
195903,18,21,0,12851,114
197200,5,26,0,2611,46
197300,4,19,0,7589,63
197410,6,30,23,12456,114
197420,80,19,65,7589,63
197500,73,19,262,7589,63
197600,15,37,0,12259,75
197700,1,37,209,12259,75
199000,47,46,66,7736,116
199110,29,45,0,6058,129
199120,2,45,80,6058,129
199201,2,26,0,2611,46
199202,0,45,0,6058,129
199300,7,47,0,8290,138
199400,12,46,0,7736,116
199700,22,26,0,2611,46
199800,10,26,0,2611,46
199900,17,57,0,5829,80
201110,0,19,0,3447,83
201120,4,19,0,3447,83
201200,6,19,0,3447,83
201301,9,19,0,3447,83
201302,4,40,0,9126,175
201401,0,19,0,3447,83
201402,0,21,0,4103,106
201501,0,19,0,3447,83
201503,2,19,0,3447,83
201504,0,19,0,3447,83
201601,3,19,0,3447,83
201602,5,19,0,3447,83
201700,10,19,0,3447,83
203100,11,31,0,3218,34
203200,0,33,0,3874,57
203300,12,31,0,4682,34
203500,18,31,145,3218,34
203600,28,31,0,3218,34
203710,0,31,0,3218,34
203720,0,31,0,3218,34
203800,4,33,0,3874,57
203900,3,2,25,656,23
204110,9,33,0,3874,57
204120,3,2,0,656,23
204200,6,31,0,3218,34
204300,0,44,0,5739,93
204410,14,31,0,3218,34
204420,130,31,318,3218,34
204600,42,42,0,5083,70
204700,23,11,0,1865,36
204810,21,11,0,1865,36
204820,15,11,0,1865,36
204910,10,11,0,1865,36
204920,27,11,0,1865,36
205110,3,11,0,1865,36
205120,100,11,0,1865,36
206010,43,18,0,4670,12
206020,12,18,48,4670,12
206031,59,20,0,10416,17
206032,143,31,0,3218,34
206050,144,42,0,5083,70
